objectid,filename,title,creator,date,description,subject,location,latitude,longitude,type,format,language,rights,rightsstatement,rightsholder,rightsnote,publisher,source,identifier
gillespie-cemetery_historical-note_2002,gillespie-cemetery_historical-note_2002.pdf,Historical Note,"Gillespie Cemetary Association; Heath, Kathy; Ague, Linda; Lane County History Museum",2002-06-30,"Note added in 2002 by Kathy Heath (Gillespie Cemetary Association) to the Find a Grave page for William Lester ""Bill"" Gilham, explaining the prohibition against Black people owning property in Eugene prior to the 1960s and detailing racist violence against Tent City inhabitants in the 1940s. The purpose of the notice seems to be to laud the Gilhams for not participating in a campaign to force Black families out of their neighborhood, and it uses offensive language, suggesting that it may be a remediation of older materials on file in the records of the Gillespie Cemetary, where Gilham was buried in 1958. The notice was included in an email from Linda Ague to a correspondent seeking information about Gilham and was printed out and highlighted for inclusion in the Reynolds Family Collection at Lane County History Museum, presumably because of its reference to Leo and Pearl Washington and the demolition of Tent City. ","racism; prejudices; newspapers; zoning, exclusionary","Eugene, Oregon",,,text,application/pdf,English,COPYRIGHT UNDETERMINED,https://rightsstatements.org/page/1.0/?language=en#collection-other,,,Find a Grave; Lane County History Museum,"Reynolds Family Collection, MS 510, Lane County History Museum; https://www.findagrave.com/memorial/6563412/william-lester-gilham",gillespie-cemetery_historical-note_2002
bethel-refinement-plan_transportation-maps_1982,bethel-refinement-plan_transportation-maps_1982.pdf,Bethel-Danebo Refinement Plan: Transportation - Maps from 1982,Bethel Citizens; Bethel Triangle Neighbors; Eugene Planning Commission,1982-09-13,This document includes policies and proposals for the Bethel-Danebo area bikeways (page 40) and a Bethel-Danebo transportation map illustrating bikeways throughout the area (page 41),transportation--maps,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane Council of Governments,"309.26 Be, Lane County History Museum",bethel-refinement-plan_transportation-maps_1982
west-eugene-wetlands-study_financing_1991,west-eugene-wetlands-study_financing_1991.pdf,Financing and Future ideas,Lane Council of Governments,1991-03-01,"Excerpt from the West Eugene Wetlands Special Area Study 1991. Includes chapters 6 and 7, which discuss how financial policies will be put in place along with goals for the future.",Urban Ecological Design; Land Use--Planning; Wetland Management,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane Council of Governments,West Eugene Wetlands Special Area Study Draft Plan,west-eugene-wetlands-study_financing_1991
changing-demographics_african-american-timeline_2009,changing-demographics_african-american-timeline_2009.pdf,Changing Demographics: African American History in Lane County,"Dole, Mary; Lane County Historical Society and Museum",2009-02-14,Excerpt from the Changing Demographics exhibit catalog. Timeline of history of African Americans in Lane County and all the laws passed and repealed in Oregon that affected Black citizens.,historical publishing; prejudices; racism; advocacy group,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane Country History Museum,"Changing Demographics: The People of Lane County, Lane Country History Museum",changing-demographics_african-american-timeline_2009
changing-demographics_coming-to-oregon_2009,changing-demographics_coming-to-oregon_2009.pdf,Changing Demographics: Coming to Oregon,"Dole, Mary; Lane County Historical Society and Museum",2009-02-14,Excerpt from the Changing Demographics exhibit catalog. Graphic of the count of foreign-born immigrants in Oregon from the U.S. Census.,United States -- Census (Oregon); emmigration and immigration,Oregon,43.8041,-120.5542,text,application/pdf,"English, Spanish",IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane Country History Museum,"Changing Demographics: The People of Lane County, Lane Country History Museum",changing-demographics_coming-to-oregon_2009
changing-demographics_complete_2009,changing-demographics_complete_2009.pdf,Changing Demographics: The People of Lane County Exhibition Catalogue,"Dole, Mary; Lane County Historical Society and Museum",2009-02-14,An exibition catalogue designed to explain and discuss the history of Lane County's changing demographics. (SP),local history materials; prejudices; racism; emmigration and immigration,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane Country History Museum,"Changing Demographics: The People of Lane County, Lane Country History Museum",changing-demographics_complete_2009
changing-demographics_difficult-times_2009,changing-demographics_difficult-times_2009.pdf,Changing Demographics: Difficult Times In Lane County,"Dole, Mary; Lane County Historical Society and Museum",2009-02-14,"Excerpt from the Changing Demographics exhibit catalog. Oregon not a welcoming place for people who were not white or protestant. laws have been enacted excluding residence in the state and ownership of land by people of color, and also making interracial marriage a criminal act. Oregon voted to exclude African-Americans from living in Oregon. Thus Oregon became the only state admitted to the Union with an exclusion law in its constitution (see paragraphs 4-7).","local history materials; prejudices; racism; emmigration and immigration; zoning, exclusionary; advocacy group; Eugene, Or.",Oregon,43.8041,-120.5542,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane Country History Museum,"Changing Demographics: The People of Lane County, Lane Country History Museum",changing-demographics_difficult-times_2009
changing-demographics_introduction_2009,changing-demographics_introduction-2009.pdf,Changing Demographics: Introduction,"Dole, Mary; Lane County Historical Society and Museum",2009-02-14,"An introduction to an article discussing the goals of a Lane County History Museum exhibit that showcases Oregon's pioneer history and has expanded to discuss the history of ethnic and racial groups in Oregon history. This article mentions Oregon's journey to statehood, the origins of westerns settlers, as well as the experiences of Indigenous groups, Chinese railroad workers, African American and Black communities, and Latino agricultural workers. A black-and-white photo shown on first page titled Connie Mesquita Family, 1940. The second page is the same article in Spanish with racial and ethnic demographics from 1990, 2000, and 2007.",local history materials; prejudices; emmigration and immigration; Oregon history; Chinese American history; railroad histroy; Black history; vaqueros; Latino American; North American Indigenous; immigration; pioneers; racism,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,"English, Spanish",IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane Country History Museum,"Changing Demographics: The People of Lane County, Lane Country History Museum",changing-demographics_introduction_2009
changing-demographics_jewish-communities_2009,changing-demographics_jewish-communities_2009.pdf,Changing Demographics: Jewish Communities of Lane County,"Dole, Mary; Lane County Historical Society and Museum",2009-02-14,"This excerpt from the Changing Demographics exhibit catalog depicts Eugene's early Jewish community, which was comprised of a small number of families that emigrated from Germany. Prominent figures in the Jewish community included Sam Friendly and Goodman Bettman. The article discusses the perception among non-Jewish residents that Jewish-Americans have generally experienced acceptance in Eugene, and also notes incidents of discrimination and harassment that contradict this consensus. ",local history materials; prejudices; racism; emmigration and immigration; frontier and pioneer life; Oregon Trail; Jewish People,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane Country History Museum,"Changing Demographics: The People of Lane County, Lane Country History Museum",changing-demographics_jewish-communities_2009
changing-demographics_kalapuya_2009,changing-demographics_kalapuya_2009.pdf,Changing Demographics: The Kalapuya Tribe,"Dole, Mary; Lane County Historical Society and Museum",2009-02-14,"Excerpt from the Changing Demographics exhibit catalog. Contains information regarding the history, reservation agreement and nomadic patterns of the Kalapuya people. Despite land being promised to their tribe, this agreement was slowly chipped away at which resulted in a significant loss of their tribal presence.",local history materials; Kalapuya Indians; Native Americans; colonization; communicable disease; treaty,Oregon,43.8041,-120.5542,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane Country History Museum,"Changing Demographics: The People of Lane County, Lane Country History Museum",changing-demographics_kalapuya_2009
changing-demographics_latino-timeline_2009,changing-demographics_latino-timeline_2009.pdf,Changing Demographics: Latino Roots Timeline,"Dole, Mary; Lane County Historical Society and Museum",2009-02-14,"Excerpt from the Changing Demographics exhibit catalog. Timeline of when and how Mexican and Mexican-American people came to the United States and then settled in Eugene, Oregon.",local history materials; prejudices; racism; emmigration and immigration; Mexican American families; Mexico -- emmigration and immigration,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane Country History Museum,"Changing Demographics: The People of Lane County, Lane Country History Museum",changing-demographics_latino-timeline_2009
changing-demographics_mesquita_2009,changing-demographics_mesquita_2009.pdf,Changing Demographics: My Story: Connie Mesquita,"Dole, Mary; Lane County Historical Society and Museum",2009-02-14,Excerpt from the Changing Demographics exhibit catalog. Story of Mexican-American Connie Mesquita and her journey coming to Lane County. Describes hardships she's faced throughout her life and her experience w/ the Latino community in Eugene (see paragraphs 6-7).,local history materials; prejudices; racism; emmigration and immigration; Mexican American families; Mexican Americans -- education; Upward Bound Program (University of Oregon),"Eugene, Oregon",43.8041,-120.5542,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane Country History Museum,"Changing Demographics: The People of Lane County, Lane Country History Museum",changing-demographics_mesquita_2009
changing-demographics_native-american-timeline_2009,changing-demographics_native-american-timeline_2009.pdf,Changing Demographics: Native American Timeline,"Dole, Mary; Lane County Historical Society and Museum",2009-02-14,Excerpt from the Changing Demographics exhibit catalog. Timeline of history of the Kalapuya tribe; a Native American tribe that inhabited the region which is now Oregon.,local history materials; Native Americans; Kalapuya Indians,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane Country History Museum,"Changing Demographics: The People of Lane County, Lane Country History Museum",changing-demographics_native-american-timeline_2009
changing-demographics_perez_2009,changing-demographics_perez_2009.pdf,Changing Demographics: Our Story: Jose Luis Samano & Ema Perez,"Dole, Mary; Lane County Historical Society and Museum",2009-02-14,"Excerpt from the Changing Demographics exhibit catalog. Story of Mexican-Americans Jose Luis Samano & Ema Perez. Discusses Lane County in 1960s-1970s, specifically lack of people of color (see paragraph 5, 15, 16).",local history materials; prejudices; racism; emmigration and immigration; Mexican American families; Mexico -- emmigration and immigration; Mexican Americans -- Education; African American neighborhoods,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane Country History Museum,"Changing Demographics: The People of Lane County, Lane Country History Museum",changing-demographics_perez_2009
changing-demographics_religion_2009,changing-demographics_religion_2009.pdf,Changing Demographics: Religious Experiences,"Dole, Mary; Lane County Historical Society and Museum",2009-02-14,Excerpt from the Changing Demographics exhibit catalog. Describes different churches that formed in Lane County (see paragraph 2 - St. Mary's Church).,Religion; Catholic Church; Latin Americans,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane Country History Museum,"Changing Demographics: The People of Lane County, Lane Country History Museum",changing-demographics_religion_2009
changing-demographics_villaneuva_2009,changing-demographics_villaneuva_2009.pdf,Changing Demographics: My Story: Rose Mary Villanueva,"Dole, Mary; Lane County Historical Society and Museum",2009-02-14,Excerpt from the Changing Demographics exhibit catalog. Rose Mary Villaneuva moved to Eugene in 1979 and established a local Spanish mass. She recounts the growth of Eugene's Latino population as well as growing intolerance (see paragraphs 5-10).,local history materials; Mexican Americans; Catholic Church; Mexican Americans -- education; Mexican American Teachers; Education -- bilingual; racism; prejudices,"Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane Country History Museum,"Changing Demographics: The People of Lane County, Lane Country History Museum",changing-demographics_villaneuva_2009
bethel-school_1930,bethel-school_1930.jpg,"Bethel School, c.1930",unknown,1930-01-01,"Black-and-white photograph of Bethel School, located at 1000 Bethel Drive. Lettering above the front entrance reads ""BETHEL SCHOOL DISTRICT No. 52"".",local history materials; school facilities; architectural photography; wrecking; historic preservation,"Eugene, Oregon",44.07215674,-123.1388251,image,image/jpg,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane County History Museum,"Photograph Collection, GN321, Lane County History Museum; https://lchm.pastperfectonline.com/photo/C16A8B94-4433-4D2B-B3ED-936628928170",bethel-school_1930
lchm_reynolds-family-collection_2015,lchm_reynolds-family-collection_2015.jpg,Archives Summary: Reynolds Family Collection,Lane County Historical Society and Museum,2015-10-06,"Description and changelog for the Reynolds Family Collection, MS A 510.001, Lane County Historical Society archives. The Reynolds were one of the first African-American families in Eugene and co-founders of St. Mark's Christian Methodist Episcopal Church.",local history materials; racism; cities and towns--growth; African American churches,"Eugene, Oregon",44.0521,-123.0868,text,image/jpg,English,IN COPYRIGHT,http://rightsstatements.org/vocab/InC/1.0/,Lane County History Museum; City of Eugene,,Lane County History Museum,"Reynolds Family Collection, MS 510, Lane County History Museum",lchm_reynolds-family-collection_2015
